CONVOCATORIA,SEMESTRE DE CONVOCATORIA,BENEFICIO OTORGADO,DEPARTAMENTO DE NACIMIENTO,MUNICIPIO DE NACIMIENTO,FECHA DE NACIMIENTO,GÉNERO,SUBREGIÓN DE RESIDENCIA,MUNICIPIO DE RESIDENCIA,ESTRATO,GRUPO ETNICO,VICTIMA DEL CONFLICTO ARMADO,UNIVERSIDAD,PROGRAMA CURSADO,MUNICIPIO OFERTA,TIPO DE FORMACIÓN,GRADUADO
2015,2,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,YOLOMBO,02/12/1992 12:00:00 AM,FEMENINO,NORDESTE,YOLOMBO,ESTRATO 2,NINGUNO,SI,TECNOLOGICO DE ANTIOQUIA,TECNOLOGIA AGROAMBIENTAL,YOLOMBO,TECNOLOGICA,SI
2015,2,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,YOLOMBO,09/08/1992 12:00:00 AM,FEMENINO,NORDESTE,YOLOMBO,ESTRATO 2,NINGUNO,NO,TECNOLOGICO DE ANTIOQUIA,TECNOLOGIA AGROAMBIENTAL,YOLOMBO,TECNOLOGICA,SI
2015,2,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,ZARAGOZA,12/31/1991 12:00:00 AM,MASCULINO,NORDESTE,CISNEROS,ESTRATO 2,NINGUNO,NO,TECNOLOGICO DE ANTIOQUIA,TECNOLOGIA AGROAMBIENTAL,YOLOMBO,TECNOLOGICA,SI
2015,2,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,YOLOMBO,09/13/1984 12:00:00 AM,FEMENINO,NORDESTE,YOLOMBO,ESTRATO 2,NINGUNO,NO,TECNOLOGICO DE ANTIOQUIA,TECNOLOGIA AGROAMBIENTAL,YOLOMBO,TECNOLOGICA,SI
2015,2,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,YOLOMBO,01/28/1991 12:00:00 AM,FEMENINO,NORDESTE,VEGACHI,ESTRATO 2,NINGUNO,SI,TECNOLOGICO DE ANTIOQUIA,TECNOLOGIA AGROAMBIENTAL,YOLOMBO,TECNOLOGICA,NO
2015,2,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,PUEBLORRICO,04/07/1993 12:00:00 AM,MASCULINO,SUROESTE,PUEBLORRICO,ESTRATO 2,NINGUNO,NO,TECNOLOGICO DE ANTIOQUIA,TECNOLOGIA AGROAMBIENTAL,LA PINTADA,TECNOLOGICA,NO
2015,2,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,TAMESIS,04/17/1996 12:00:00 AM,FEMENINO,SUROESTE,TAMESIS,ESTRATO 1,NINGUNO,NO,TECNOLOGICO DE ANTIOQUIA,LICENCIATURA EN EDUCACION PREESCOLAR,LA PINTADA,UNIVERSITARIA,NO
2015,2,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,BETANIA,07/05/1994 12:00:00 AM,MASCULINO,SUROESTE,BETANIA,ESTRATO 1,NINGUNO,NO,TECNOLOGICO DE ANTIOQUIA,TECNOLOGIA AGROAMBIENTAL,LA PINTADA,TECNOLOGICA,SI
2015,2,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,SANTA BARBARA,02/03/1992 12:00:00 AM,FEMENINO,SUROESTE,LA PINTADA,ESTRATO 1,NINGUNO,NO,TECNOLOGICO DE ANTIOQUIA,LICENCIATURA EN EDUCACION PREESCOLAR,LA PINTADA,UNIVERSITARIA,NO
2015,2,MATRICULA Y SOSTENIMIENTO,CALDAS,LA MERCED,03/18/1995 12:00:00 AM,FEMENINO,SUROESTE,LA PINTADA,ESTRATO 2,NINGUNO,NO,TECNOLOGICO DE ANTIOQUIA,LICENCIATURA EN EDUCACION PREESCOLAR,LA PINTADA,UNIVERSITARIA,NO
2015,2,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,EL CARMEN DE VIBORAL,03/01/1996 12:00:00 AM,MASCULINO,ORIENTE,EL CARMEN DE VIBORAL,ESTRATO 3,NINGUNO,NO,UNIVERSIDAD DE ANTIOQUIA,MEDICINA VETERINARIA,EL CARMEN DE VIBORAL,UNIVERSITARIA,NO
2015,2,SOSTENIMIENTO,ANTIOQUIA,EL CARMEN DE VIBORAL,02/23/1996 12:00:00 AM,FEMENINO,ORIENTE,EL CARMEN DE VIBORAL,ESTRATO 2,NINGUNO,NO,SENA,TECNOLOGIA EN GESTION ADMINISTRATIVA,RIONEGRO,TECNOLOGICA,SI
2015,2,MATRICULA,ANTIOQUIA,LA CEJA,02/17/1996 12:00:00 AM,MASCULINO,ORIENTE,EL CARMEN DE VIBORAL,ESTRATO 3,NINGUNO,NO,UNIVERSIDAD DE ANTIOQUIA,INGENIERIA URBANA,EL CARMEN DE VIBORAL,UNIVERSITARIA,NO
2015,2,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,RIONEGRO,01/06/1996 12:00:00 AM,MASCULINO,ORIENTE,EL CARMEN DE VIBORAL,ESTRATO 2,NINGUNO,NO,UNIVERSIDAD DE ANTIOQUIA,MEDICINA VETERINARIA,EL CARMEN DE VIBORAL,UNIVERSITARIA,NO
2015,2,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,EL SANTUARIO,07/27/1995 12:00:00 AM,FEMENINO,ORIENTE,EL CARMEN DE VIBORAL,ESTRATO 2,NINGUNO,SI,UNIVERSIDAD DE ANTIOQUIA,TRABAJO SOCIAL,EL CARMEN DE VIBORAL,UNIVERSITARIA,SI
2015,2,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,MEDELLIN,04/04/1995 12:00:00 AM,MASCULINO,ORIENTE,EL CARMEN DE VIBORAL,ESTRATO 2,NINGUNO,NO,UNIVERSIDAD DE ANTIOQUIA,INGENIERIA AGROINDUSTRIAL,EL CARMEN DE VIBORAL,UNIVERSITARIA,NO
2015,2,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,EL CARMEN DE VIBORAL,02/16/1995 12:00:00 AM,FEMENINO,ORIENTE,EL CARMEN DE VIBORAL,ESTRATO 2,NINGUNO,NO,UNIVERSIDAD DE ANTIOQUIA,MICROBIOLOGIA INDUSTRIAL Y AMBIENTAL,EL CARMEN DE VIBORAL,UNIVERSITARIA,NO
2015,2,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,RIONEGRO,01/15/1995 12:00:00 AM,MASCULINO,ORIENTE,EL CARMEN DE VIBORAL,ESTRATO 2,NINGUNO,NO,UNIVERSIDAD DE ANTIOQUIA,ENFERMERIA,EL CARMEN DE VIBORAL,UNIVERSITARIA,SI
